Unnamed: 0,Rank,name,rating,Format,Volume Count,Start Date,End Date,Member Count,Genre
0,1,Berserk,9.47,Manga,unfinished,Aug 1989,unfinished,741230,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Gore', 'Military', 'Psychological', 'Seinen']"
1,2,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.32,Manga,24 vols,Jan 2004,Apr 2011,287722,"['Action', 'Adventure', 'Mystery', 'Supernatural', 'Historical', 'Seinen', 'Shounen']"
2,3,Vagabond,9.26,Manga,37 vols,Sep 1998,May 2015,417353,"['Action', 'Adventure', 'Award Winning', 'Historical', 'Samurai', 'Seinen']"
3,4,One Piece,9.22,Manga,unfinished,Jul 1997,unfinished,654245,"['Action', 'Adventure', 'Fantasy', 'Shounen']"
4,5,Monster,9.16,Manga,18 vols,Dec 1994,Dec 2001,264699,"['Award Winning', 'Drama', 'Mystery', 'Adult Cast', 'Psychological', 'Seinen']"
5,6,Slam Dunk,9.08,Manga,31 vols,Sep 1990,Jun 1996,183716,"['Award Winning', 'Sports', 'School', 'Team Sports', 'Shounen']"
6,7,Vinland Saga,9.08,Manga,unfinished,Apr 2005,unfinished,327578,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Historical', 'Seinen']"
7,8,Fullmetal Alchemist,9.04,Manga,27 vols,Jul 2001,Sep 2010,305723,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Military', 'Shounen']"
8,9,Tian Guan Cifu,9.03,Novel,6 vols,Feb 2021,Mar 2022,14626,"['Action', 'Adventure', 'Boys Love', 'Supernatural', 'Historical']"
9,10,Guimi Zhi Zhu,9.03,Novel,18 vols,May 2020,Aug 2023,8071,"['Action', 'Mystery', 'Supernatural', 'Suspense']"
10,11,Grand Blue,9.03,Manga,unfinished,Apr 2014,unfinished,185755,"['Comedy', 'Seinen']"
11,12,Omniscient Reader's Viewpoint,9.02,Novel,20 vols,Jan 2022,Sep 2023,20744,"['Action', 'Adventure', 'Fantasy', 'Urban Fantasy']"
12,13,Kingdom,9.01,Manga,unfinished,Jan 2006,unfinished,183412,"['Action', 'Award Winning', 'Historical', 'Military', 'Seinen']"
13,14,Oyasumi Punpun,8.99,Manga,13 vols,Mar 2007,Nov 2013,478895,"['Drama', 'Slice of Life', 'Psychological', 'Seinen']"
14,15,Houseki no Kuni,8.97,Manga,13 vols,Oct 2012,Apr 2024,149450,"['Action', 'Drama', 'Fantasy', 'Anthropomorphic', 'Seinen']"
15,16,Real,8.95,Manga,unfinished,Oct 1999,unfinished,97329,"['Award Winning', 'Drama', 'Sports', 'Psychological', 'Team Sports', 'Seinen']"
16,17,20th Century Boys,8.94,Manga,22 vols,Sep 1999,Apr 2006,283579,"['Award Winning', 'Drama', 'Mystery', 'Sci-Fi', 'Historical', 'Psychological', 'Seinen']"
17,18,Ashita no Joe,8.94,Manga,20 vols,Jan 1968,May 1973,57045,"['Drama', 'Slice of Life', 'Sports', 'Combat Sports', 'Shounen']"
