DirectorID,FirstName,FamilyName,FullName,DoB,DoD
4,Steven,Spielberg,Steven Spielberg,18-12-1946,
5,Joel,Coen,Joel Coen,29-11-1954,
6,Ethan,Coen,Ethan Coen,21-09-1957,
7,George,Lucas,George Lucas,14-05-1944,
8,Ang,Lee,Ang Lee,23-10-1954,
9,Martin,Scorsese,Martin Scorsese,17-11-1942,
10,Clint,Eastwood,Clint Eastwood,31-05-1930,
11,Sam,Raimi,Sam Raimi,23-10-1959,
12,Peter,Jackson,Peter Jackson,31-10-1961,
14,Bryan,Singer,Bryan Singer,17-09-1965,
15,James,Cameron,James Cameron,16-08-1954,
16,Tom,Shadyac,Tom Shadyac,11-12-1958,
17,Kevin,Reynolds,Kevin Reynolds,17-01-1952,
18,Michael,Bay,Michael Bay,17-02-1965,
19,David,Yates,David Yates,30-11-1963,
20,Robert,Zemeckis,Robert Zemeckis,14-05-1952,
21,Steve,Hickner,Steve Hickner,,
22,Gore,Verbinski,Gore Verbinski,16-03-1964,
23,Francis,Lawrence,Francis Lawrence,26-03-1970,
24,Brad,Bird,Brad Bird,11-09-1957,
25,Wolfgang,Peterson,Wolfgang Peterson,14-03-1941,
26,Mike,Newell,Mike Newell,28-03-1942,
27,Christopher,Nolan,Christopher Nolan,30-07-1970,
28,Tim,Burton,Tim Burton,25-08-1958,
29,Lee,Tamahori,Lee Tamahori,17-06-1950,
30,Richard,Donner,Richard Donner,24-04-1930,
31,Barry,Sonnenfeld,Barry Sonnenfeld,01-04-1953,
32,Rob,Cohen,Rob Cohen,12-03-1949,
33,Hironobu,Sakaguchi,Hironobu Sakaguchi,14-11-1962,
34,Michael,Mann,Michael Mann,05-02-1943,
35,Michael,Apted,Michael Apted,10-02-1941,
36,Peter,Weir,Peter Weir,21-08-1944,
37,Paul,Greengrass,Paul Greengrass,13-08-1955,
38,Alfonso,Cuaron,Alfonso Cuaron,28-11-1961,
39,Lilly,Wachowski,Lilly Wachowski,29-12-1967,
40,Ron,Howard,Ron Howard,01-03-1954,
41,Chris,Columbus,Chris Columbus,10-09-1958,
42,Roland,Emmerich,Roland Emmerich,10-11-1955,
43,Edward,Zwick,Edward Zwick,08-10-1952,
44,J. J.,Abrams,J. J. Abrams,27-06-1966,
45,John,Woo,John Woo,23-09-1946,
46,Pete,Docter,Pete Docter,10-08-1968,
47,Roger,Spottiswoode,Roger Spottiswoode,05-01-1945,
48,Steven,Soderbergh,Steven Soderbergh,14-01-1963,
49,Len,Wiseman,Len Wiseman,04-03-1973,
50,Frank,Coraci,Frank Coraci,03-02-1966,
51,Ridley,Scott,Ridley Scott,30-11-1937,
52,Doug,Liman,Doug Liman,24-07-1965,
53,Alex,Proyas,Alex Proyas,23-09-1963,
54,Martin,Campbell,Martin Campbell,24-10-1940,
55,Jean-Christophe,Comar,Jean-Christophe Comar,04-07-1957,
56,Luc,Besson,Luc Besson,18-03-1959,
57,Brett,Ratner,Brett Ratner,28-03-1969,
58,John,McTiernan,John McTiernan,08-01-1951,
59,Brian,De Palma,Brian De Palma,11-09-1940,
60,Mimi,Leder,Mimi Leder,26-01-1952,
61,Sam,Mendes,Sam Mendes,01-08-1965,
62,M. Night,Shyamalan,M. Night Shyamalan,06-08-1970,
63,Adam,McKay,Adam McKay,17-04-1968,
64,David,Silverman,David Silverman,15-03-1957,
65,Mel,Gibson,Mel Gibson,03-01-1956,
66,Chris,Miller,Chris Miller,,
67,Andrew,Adamson,Andrew Adamson,01-12-1966,
68,Jonathan,Frakes,Jonathan Frakes,19-08-1952,
69,Renny,Harlin,Renny Harlin,15-03-1959,
70,David,Fincher,David Fincher,28-08-1962,
71,Guillermo,del Toro,Guillermo del Toro,09-10-1964,
72,Paul,Verhoeven,Paul Verhoeven,18-07-1938,
73,Phillip,Noyce,Phillip Noyce,29-04-1950,
74,Paul,Anderson,Paul Anderson,04-03-1965,
75,Todd,Phillips,Todd Phillips,20-12-1970,
76,Zack,Snyder,Zack Snyder,01-03-1966,
77,Stuart,Baird,Stuart Baird,30-11-1947,
78,Tony,Scott,Tony Scott,21-06-1944,
79,Quentin,Tarantino,Quentin Tarantino,27-03-1963,
80,Tom,Dey,Tom Dey,14-04-1965,
81,David,Dobkin,David Dobkin,23-06-1969,
82,Stephen,Norrington,Stephen Norrington,,
83,Andrew,Davis,Andrew Davis,21-11-1946,
84,John,Glen,John Glen,15-05-1932,
85,Frank,Miller,Frank Miller,27-01-1957,
86,Joss,Whedon,Joss Whedon,23-06-1964,
87,David,Carson,David Carson,,
88,Irvin,Kershner,Irvin Kershner,29-04-1923,
89,Robert,Wise,Robert Wise,10-09-1914,
90,Richard,Marquand,Richard Marquand,22-04-1938,
91,David,Cronenberg,David Cronenberg,15-03-1943,
92,Lewis,Gilbert,Lewis Gilbert,06-03-1920,
93,Andrew,Dominik,Andrew Dominik,07-10-1967,
94,Ivan,Reitman,Ivan Reitman,27-10-1946,
95,William,Shatner,William Shatner,22-03-1931,
96,Nicholas,Meyer,Nicholas Meyer,24-12-1945,
97,Paul Michael,Glaser,Paul Michael Glaser,25-03-1943,
98,Kevin,Costner,Kevin Costner,18-01-1955,
99,Leonard,Nimoy,Leonard Nimoy,26-03-1931,
100,John,Guillermin,John Guillermin,11-11-1925,27-09-2015
101,Richard,Attenborough,Richard Attenborough,29-08-1923,
102,Kurt,Wimmer,Kurt Wimmer,,
103,Robert,Rodriguez,Robert Rodriguez,20-06-1968,
104,Larry,Charles,Larry Charles,20-02-1956,
105,Zhang,Yimou,Zhang Yimou,14-11-1951,
106,Edgar,Wright,Edgar Wright,18-04-1974,
108,Danny,Boyle,Danny Boyle,20-10-1956,
109,Oliver,Hirschbiegel,Oliver Hirschbiegel,29-12-1957,
111,Jean-Pierre,Jeunet,Jean-Pierre Jeunet,03-09-1953,
112,Terence,Young,Terence Young,20-06-1915,
113,Peter R.,Hunt,Peter R. Hunt,11-03-1925,
114,Stanley,Tong,Stanley Tong,07-04-1960,
115,Guy,Hamilton,Guy Hamilton,16-09-1922,20-04-2016
116,George,Clooney,George Clooney,06-05-1961,
117,Michael,Anderson,Michael Anderson,30-01-1920,
118,Sammo,Hung,Sammo Hung,07-01-1952,
119,Timur,Bekmambetov,Timur Bekmambetov,25-06-1961,
120,Florian Henckel,von Donnersmarck,Florian Henckel von Donnersmarck,02-05-1973,
121,Merian C.,Cooper,Merian C. Cooper,###############################################################################################################################################################################################################################################################,21-04-1973
122,Akira,Kurosawa,Akira Kurosawa,23-10-1910,
