StudioID,Studio
1,Universal Pictures
2,Paramount Pictures
3,Walt Disney Pictures
4,20th Century Fox
5,Columbia Pictures
6,Warner Bros. Pictures
7,Touchstone Pictures
8,Dreamworks
9,ImageMovers
10,Pixar Animation Studios
11,Metro-Goldwyn-Mayer
12,Chris Lee Productions
13,Lucasfilm
14,New Line Cinema
15,Carolco Pictures
16,Miramax Films
17,Jerry Bruckheimer Films
18,Gaumont
19,Revolution Studios
20,Imagine Entertainment
21,Morgan Creek Productions
22,United Artists
23,Dimension Films
24,Braveworld Productions
25,Icon Productions
26,Carolina Bank
27,Tig Productions
28,Dune Entertainment
29,Beijing New Picture Film Co.
30,Big Talk Productions
31,The Malpaso Company
32,British Film Council
33,Channel Four Films
34,Constantin Film
35,Bavaria Film
36,Bayerischer Rundfunk
37,RKO Radio Pictures
38,Toho Company
39,Kathbur Pictures
40,Avalon Studios
41,Amblin Entertainment
42,WingNut Films
43,Legendary Pictures
44,Spyglass Entertainment
45,Gordon Company
46,di Bonaventura Pictures
47,Heyday Films
48,Shangri-La Entertainment
49,Village Roadshow Pictures
50,Helena Productions
51,Eon Productions
52,Silver Pictures
53,Marvel Entertainment
54,Original Film
55,Square Pictures
56,The Kennedy Marshall Company
57,Centropolis Entertainment
58,Radar Pictures
59,Cruise Wagner Productions
60,Lion Rock Productions
61,Jerry Weintraub Productions
62,Cheyenne Enterprises
63,Walden Media
64,Scott Free Productions
65,Regency Enterprises
66,Forward Pass
67,Peters Entertainment
68,Davis Entertainment
69,The Bedford Falls Company
70,Lightstorm Entertainment
71,Roger Birnbaum Productions
72,Cinergi Pictures
73,The Zanuck Company
74,Strike Entertainment
75,Hollywood Pictures
76,Apatow Productions
77,Gracie Films
78,Mandalay Pictures
79,Fox 2000 Pictures
80,Millennium Films
81,Scott Rudin Productions
82,Weed Road Pictures
83,Dovemead
84,A Band Apart
85,Brandywine Productions
86,Pacific Data Images
87,Tapestry Films
88,Taliafilm
89,Jersey Films
90,Virtual Studios
91,Lakeshore Entertainment
92,Mace Neufeld Productions
93,Black Rhino
94,The Ladd Company
95,Republic Pictures
96,Dino De Laurentiis Corporation
97,Goldcrest Films
98,Jinks/Cohen Company
99,EDKO Films
100,River Road Entertainment
101,Newmarket Capital Group
102,UGC
103,Golden Harvest
104,Polygram Filmed Entertainment
105,2929 Entertainment
106,Hemdale
107,Bad Hat Harry Productions
108,Summit Entertainment
109,Channel One Russia
110,Live Entertainment
111,The Con
112,Greenwich Film Productions
113,DNA Films
114,Communicado Productions
115,Aardman Animations
116,Jesse L. Lasky Feature Play Company
117,Thanhouser Film Corporation
118,Fox Film Corporation
119,Keystone Film Company
120,Color Force
121,Famous Players Film Company
122,Deutsche Bioscop
123,Chernin Entertainment
124,Illumination Entertainment
125,Temple Hill Entertainment
126,Bad Robot Productions
127,Sony Pictures
128,Relativity Media
129,Playtone Entertainment
130,Overbrook Entertainment
131,Tribeca Productions
132,Intermedia
133,DC Entertainment
134,China Film Group
135,Gold Circle Films
136,O2 Filmes
137,Alphaville Films
138,Eric's Boy
139,Zucker Brothers Productions
140,Kopelson Entertainment
