FilmID,Title,ReleaseDate,DirectorID,StudioID,CountryID,LanguageID,GenreID,RunTimeMinutes,CertificateID,BudgetDollars,BoxOfficeDollars,OscarNominations,OscarWins
1,Jurassic Park,11-06-1993,4,41,241,1,8,126,2,63000000,1029939903,3,3
2,Spider-Man,03-05-2002,11,53,241,1,4,121,4,140000000,821708551,2,0
3,King Kong,14-12-2005,12,42,167,1,8,187,4,207000000,550500000,4,3
5,Superman Returns,14-07-2006,14,43,241,1,4,154,4,204000000,391081192,1,0
6,Titanic,23-01-1998,15,4,241,1,6,194,3,200000000,2186772302,14,11
7,Evan Almighty,22-06-2007,16,44,241,1,7,96,2,175000000,173418781,0,0
8,Waterworld,28-07-1995,17,45,241,1,8,135,3,175000000,264218220,1,0
9,Pearl Harbor,21-05-2001,18,7,241,1,5,183,3,140000000,449220945,4,1
10,Transformers,03-07-2007,18,46,241,1,3,144,4,150000000,709709780,3,0
11,Harry Potter and the Order of the Phoenix,11-07-2007,19,47,240,1,12,138,4,150000000,939885929,0,0
12,Beowulf,16-11-2007,20,48,241,1,12,115,4,150000000,196393745,0,0
13,Bee Movie,02-11-2007,21,8,241,1,11,91,1,150000000,287594577,0,0
14,Pirates of the Caribbean: At World's End,25-05-2007,22,3,241,1,8,168,4,300000000,963420425,2,0
15,I Am Legend,14-12-2007,23,49,241,1,10,100,5,150000000,585349010,0,0
16,Ratatouille,22-06-2007,24,3,241,1,11,111,1,150000000,623722818,5,1
17,Troy,14-05-2004,25,50,241,1,8,162,5,175000000,497409852,1,0
18,Harry Potter and the Goblet of Fire,06-11-2005,26,47,240,1,12,156,4,150000000,896911078,1,0
19,Batman Begins,15-06-2005,27,43,241,1,4,141,4,150000000,374218673,1,0
20,Charlie and the Chocolate Factory,15-07-2005,28,49,241,1,12,115,2,150000000,474968763,1,0
21,Pirates of the Caribbean: Dead Man's Chest,06-07-2006,22,3,241,1,8,151,4,225000000,1066179725,4,1
22,Die Another Day,20-11-2002,29,51,240,1,9,133,4,142000000,431971116,0,0
23,Lethal Weapon 4,10-07-1998,30,52,241,1,4,127,5,100000000,285444603,0,0
24,Armageddon,01-07-1998,18,7,241,1,3,151,3,140000000,553709788,4,0
