,rank,name,details,rating
0,1,Berserk,"
        Manga (? vols)
        Aug 1989 - 
        740,803 members
      ",9.47
1,2,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,"
        Manga (24 vols)
        Jan 2004 - Apr 2011
        287,531 members
      ",9.32
2,3,Vagabond,"
        Manga (37 vols)
        Sep 1998 - May 2015
        417,041 members
      ",9.26
3,4,One Piece,"
        Manga (? vols)
        Jul 1997 - 
        653,920 members
      ",9.22
4,5,Monster,"
        Manga (18 vols)
        Dec 1994 - Dec 2001
        264,525 members
      ",9.16
5,6,Slam Dunk,"
        Manga (31 vols)
        Sep 1990 - Jun 1996
        183,607 members
      ",9.08
6,7,Vinland Saga,"
        Manga (? vols)
        Apr 2005 - 
        327,368 members
      ",9.08
7,8,Fullmetal Alchemist,"
        Manga (27 vols)
        Jul 2001 - Sep 2010
        305,613 members
      ",9.04
8,9,Tian Guan Cifu,"
        Novel (6 vols)
        Feb 2021 - Mar 2022
        14,578 members
      ",9.04
9,10,Guimi Zhi Zhu,"
        Novel (18 vols)
        May 2020 - Aug 2023
        7,977 members
      ",9.03
10,11,Grand Blue,"
        Manga (? vols)
        Apr 2014 - 
        185,660 members
      ",9.03
11,12,Omniscient Reader's Viewpoint,"
        Novel (20 vols)
        Jan 2022 - Sep 2023
        20,661 members
      ",9.02
12,13,Kingdom,"
        Manga (? vols)
        Jan 2006 - 
        183,301 members
      ",9.01
13,14,Oyasumi Punpun,"
        Manga (13 vols)
        Mar 2007 - Nov 2013
        478,622 members
      ",8.99
14,15,Houseki no Kuni,"
        Manga (13 vols)
        Oct 2012 - Apr 2024
        149,302 members
      ",8.97
15,16,Real,"
        Manga (? vols)
        Oct 1999 - 
        97,258 members
      ",8.95
16,17,20th Century Boys,"
        Manga (22 vols)
        Sep 1999 - Apr 2006
        283,384 members
      ",8.94
17,18,Ashita no Joe,"
        Manga (20 vols)
        Jan 1968 - May 1973
        57,009 members
      ",8.94
18,19,Yotsuba to!,"
        Manga (? vols)
        Mar 2003 - 
        164,919 members
      ",8.91
19,20,Monogatari Series: First Season,"
        Light Novel (6 vols)
        Nov 2006 - Jul 2010
        61,482 members
      ",8.91
20,21,Mo Dao Zu Shi,"
        Novel (4 vols)
        Dec 2016 - Dec 2016
        9,225 members
      ",8.91
21,22,Monogatari Series: Second Season,"
        Light Novel (6 vols)
        Oct 2010 - Dec 2011
        24,237 members
      ",8.90
22,23,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,"
        Manga (9 vols)
        Jan 2012 - Jun 2015
        19,024 members
      ",8.90
23,24,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"
        Manga (28 vols)
        May 2015 - Nov 2022
        284,123 members
      ",8.89
24,25,Mikkakan no Koufuku,"
        Novel (1 vols)
        Dec 2013 - Dec 2013
        34,610 members
      ",8.87
25,26,GTO,"
        Manga (25 vols)
        Dec 1996 - Jan 2002
        178,087 members
      ",8.87
26,27,3-gatsu no Lion,"
        Manga (? vols)
        Jul 2007 - 
        71,950 members
      ",8.86
27,28,Haikyuu!!,"
        Manga (45 vols)
        Feb 2012 - Jul 2020
        228,868 members
      ",8.86
28,29,Tian Guan Cifu,"
        Manhua (? vols)
        Oct 2019 - 
        14,423 members
      ",8.85
29,30,Koe no Katachi,"
        Manga (7 vols)
        Aug 2013 - Nov 2014
        278,550 members
      ",8.85
30,31,Monogatari Series: Final Season,"
        Light Novel (6 vols)
        Sep 2012 - Sep 2014
        19,797 members
      ",8.83
31,32,86,"
        Light Novel (? vols)
        Feb 2017 - 
        44,286 members
      ",8.83
32,33,Sousou no Frieren,"
        Manga (? vols)
        Apr 2020 - 
        142,884 members
      ",8.83
33,34,Akatsuki no Yona,"
        Manga (? vols)
        Aug 2009 - 
        141,842 members
      ",8.82
34,35,Mushoku Tensei: Isekai Ittara Honki Dasu,"
        Light Novel (26 vols)
        Jan 2014 - Nov 2022
        92,475 members
      ",8.82
35,36,Ookami to Koushinryou,"
        Light Novel (? vols)
        Feb 2006 - 
        66,465 members
      ",8.82
36,37,Kaze no Tani no Nausicaä,"
        Manga (7 vols)
        Oct 1982 - Feb 1994
        61,920 members
      ",8.81
37,38,Kokou no Hito,"
        Manga (17 vols)
        Nov 2007 - Oct 2011
        125,239 members
      ",8.81
38,39,Re:Zero kara Hajimeru Isekai Seikatsu,"
        Light Novel (? vols)
        Jan 2014 - 
        75,018 members
      ",8.81
39,40,Kaoru Hana wa Rin to Saku,"
        Manga (? vols)
        Oct 2021 - 
        93,777 members
      ",8.81
40,41,The Greatest Estate Developer,"
        Manhwa (? vols)
        Jul 2021 - 
        40,982 members
      ",8.81
41,42,Nana,"
        Manga (21 vols)
        May 2000 - May 2009
        155,115 members
      ",8.80
42,43,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,"
        Light Novel (14 vols)
        May 2015 - Sep 2019
        90,597 members
      ",8.80
43,44,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,"
        Light Novel (33 vols)
        Jan 2015 - Dec 2023
        17,113 members
      ",8.78
44,45,Kusuriya no Hitorigoto,"
        Light Novel (? vols)
        Aug 2014 - 
        14,723 members
      ",8.77
45,46,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,"
        Light Novel (15 vols)
        Jan 2020 - Nov 2024
        39,292 members
      ",8.77
46,47,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.","
        Manga (3 vols)
        Aug 2016 - Oct 2017
        175,768 members
      ",8.77
47,48,Dungeon Meshi,"
        Manga (14 vols)
        Feb 2014 - Sep 2023
        93,656 members
      ",8.76
