,Rank,name,rating,Format,Volume Count,Start Date,End Date,Member Count
0,1,Berserk,9.47,Manga,unfinished,Aug 1989,unfinished,740803
1,2,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.32,Manga,24 vols,Jan 2004,Apr 2011,287531
2,3,Vagabond,9.26,Manga,37 vols,Sep 1998,May 2015,417041
3,4,One Piece,9.22,Manga,unfinished,Jul 1997,unfinished,653920
4,5,Monster,9.16,Manga,18 vols,Dec 1994,Dec 2001,264525
5,6,Slam Dunk,9.08,Manga,31 vols,Sep 1990,Jun 1996,183607
6,7,Vinland Saga,9.08,Manga,unfinished,Apr 2005,unfinished,327368
7,8,Fullmetal Alchemist,9.04,Manga,27 vols,Jul 2001,Sep 2010,305613
8,9,Tian Guan Cifu,9.04,Novel,6 vols,Feb 2021,Mar 2022,14578
9,10,Guimi Zhi Zhu,9.03,Novel,18 vols,May 2020,Aug 2023,7977
10,11,Grand Blue,9.03,Manga,unfinished,Apr 2014,unfinished,185660
11,12,Omniscient Reader's Viewpoint,9.02,Novel,20 vols,Jan 2022,Sep 2023,20661
12,13,Kingdom,9.01,Manga,unfinished,Jan 2006,unfinished,183301
13,14,Oyasumi Punpun,8.99,Manga,13 vols,Mar 2007,Nov 2013,478622
14,15,Houseki no Kuni,8.97,Manga,13 vols,Oct 2012,Apr 2024,149302
15,16,Real,8.95,Manga,unfinished,Oct 1999,unfinished,97258
16,17,20th Century Boys,8.94,Manga,22 vols,Sep 1999,Apr 2006,283384
17,18,Ashita no Joe,8.94,Manga,20 vols,Jan 1968,May 1973,57009
18,19,Yotsuba to!,8.91,Manga,unfinished,Mar 2003,unfinished,164919
19,20,Monogatari Series: First Season,8.91,Light Novel,6 vols,Nov 2006,Jul 2010,61482
20,21,Mo Dao Zu Shi,8.91,Novel,4 vols,Dec 2016,Dec 2016,9225
21,22,Monogatari Series: Second Season,8.90,Light Novel,6 vols,Oct 2010,Dec 2011,24237
22,23,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.90,Manga,9 vols,Jan 2012,Jun 2015,19024
23,24,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.89,Manga,28 vols,May 2015,Nov 2022,284123
